icd10code,auc_ResNet_T(ALL2ALL)-E(ALL2ALL),auc_S4_T(ALL2ALL)-E(ALL2ALL),auc_S4_T(ALL2ALL)-E(ALL2HOSP),auc_S4_T(ALL2ALL)-E(ED2HOSP),auc_S4_T(ALL2ALL)-E(ED2ED),auc_S4_T(ALL2ALL)-E(ED2ALL),auc_S4_T(ED2ALL)-E(ED2ALL),auc_S4_T(ED2ALL)-E(ALL2ALL),auc_S4_T(ED2ED)-E(ALL2ALL),description,block,len,auc_ResNet_T(ALL2ALL)-E(ALL2ALL)_low,auc_ResNet_T(ALL2ALL)-E(ALL2ALL)_high,auc_S4_T(ALL2ALL)-E(ALL2ALL)_low,auc_S4_T(ALL2ALL)-E(ALL2ALL)_high,ecgs_S4_T(ALL2ALL)-E(ALL2ALL),total_ecgs_S4_T(ALL2ALL)-E(ALL2ALL),patients_S4_T(ALL2ALL)-E(ALL2ALL),total_patients_S4_T(ALL2ALL)-E(ALL2ALL),auc_S4_T(ALL2ALL)-E(ALL2HOSP)_low,auc_S4_T(ALL2ALL)-E(ALL2HOSP)_high,ecgs_S4_T(ALL2ALL)-E(ALL2HOSP),total_ecgs_S4_T(ALL2ALL)-E(ALL2HOSP),patients_S4_T(ALL2ALL)-E(ALL2HOSP),total_patients_S4_T(ALL2ALL)-E(ALL2HOSP),auc_S4_T(ALL2ALL)-E(ED2HOSP)_low,auc_S4_T(ALL2ALL)-E(ED2HOSP)_high,ecgs_S4_T(ALL2ALL)-E(ED2HOSP),total_ecgs_S4_T(ALL2ALL)-E(ED2HOSP),patients_S4_T(ALL2ALL)-E(ED2HOSP),total_patients_S4_T(ALL2ALL)-E(ED2HOSP),auc_S4_T(ALL2ALL)-E(ED2ED)_low,auc_S4_T(ALL2ALL)-E(ED2ED)_high,ecgs_S4_T(ALL2ALL)-E(ED2ED),total_ecgs_S4_T(ALL2ALL)-E(ED2ED),patients_S4_T(ALL2ALL)-E(ED2ED),total_patients_S4_T(ALL2ALL)-E(ED2ED),auc_S4_T(ALL2ALL)-E(ED2ALL)_low,auc_S4_T(ALL2ALL)-E(ED2ALL)_high,ecgs_S4_T(ALL2ALL)-E(ED2ALL),total_ecgs_S4_T(ALL2ALL)-E(ED2ALL),patients_S4_T(ALL2ALL)-E(ED2ALL),total_patients_S4_T(ALL2ALL)-E(ED2ALL),auc_S4_T(ED2ALL)-E(ED2ALL)_low,auc_S4_T(ED2ALL)-E(ED2ALL)_high,ecgs_S4_T(ED2ALL)-E(ED2ALL),total_ecgs_S4_T(ED2ALL)-E(ED2ALL),patients_S4_T(ED2ALL)-E(ED2ALL),total_patients_S4_T(ED2ALL)-E(ED2ALL),auc_S4_T(ED2ALL)-E(ALL2ALL)_low,auc_S4_T(ED2ALL)-E(ALL2ALL)_high,ecgs_S4_T(ED2ALL)-E(ALL2ALL),total_ecgs_S4_T(ED2ALL)-E(ALL2ALL),patients_S4_T(ED2ALL)-E(ALL2ALL),total_patients_S4_T(ED2ALL)-E(ALL2ALL),auc_S4_T(ED2ED)-E(ALL2ALL)_low,auc_S4_T(ED2ED)-E(ALL2ALL)_high,ecgs_S4_T(ED2ED)-E(ALL2ALL),total_ecgs_S4_T(ED2ED)-E(ALL2ALL),patients_S4_T(ED2ED)-E(ALL2ALL),total_patients_S4_T(ED2ED)-E(ALL2ALL),auc_ResNet_T(ED2ALL)-E(ED2ALL),auc_ResNet_T(ED2ALL)-E(ED2ALL)_low,auc_ResNet_T(ED2ALL)-E(ED2ALL)_high,total_patients_ResNet_T(ED2ALL)-E(ED2ALL),total_ecgs_ResNet_T(ED2ALL)-E(ED2ALL),patients_ResNet_T(ED2ALL)-E(ED2ALL),ecgs_ResNet_T(ED2ALL)-E(ED2ALL),chapter
V10,0.7958856371222168,0.8064617508674405,0.7828335007325636,0.8459031449350907,0.8442888835032905,0.86993026754324,0.8636718003274683,0.7775876372312145,,Pedal cycle rider injured in collision with pedestrian or animal,V01-Y98,3,0.7733455985784531,0.8165823101997376,0.7862758859992027,0.8259543493390084,236.0,14231,128.0,6171,0.7594262436032295,0.804725880920887,235.0,11780,127.0,5026,0.8180150821805,0.8697329923510552,78.0,5243,57.0,2907,0.8019278764724731,0.8849863171577453,14.0,7677,11.0,4197,0.8461179092526436,0.8887149602174759,79.0,7694,58.0,4202,0.8354566320776939,0.8882852584123612,79.0,7694,58.0,4202,0.7553637102246284,0.7992543250322341,236.0,14231,128.0,6171,,,,14231,,6171,0.8537762743419466,0.828833031654358,0.8774062812328338,4202,7694,58.0,79.0,XX
D684,0.8505320511208116,0.8523825394393542,0.8335929024509044,0.8413096079313077,,0.8691947837890247,0.8776856699631569,0.8427002037423654,,Acquired coagulation factor deficiency,D50-D89,4,0.815992659330368,0.8783467203378678,0.8154776945710183,0.8832975178956985,124.0,14231,86.0,6171,0.7991173505783081,0.8661343783140183,124.0,11780,86.0,5026,0.7795342519879341,0.8924572870135308,54.0,5243,50.0,2907,,,0.0,7677,0.0,4197,0.8181052878499031,0.9161294862627984,54.0,7694,50.0,4202,0.8333441734313964,0.9174520000815392,54.0,7694,50.0,4202,0.8084486275911331,0.8720744922757149,124.0,14231,86.0,6171,,,,14231,,6171,0.8762458793872406,0.8288683712482452,0.9194082960486412,4202,7694,50.0,54.0,III
I2582,0.8802982666580379,0.8682648068520962,0.8508326020224237,0.8417161652934789,,0.8689591481964363,0.8322631464580617,0.8397761118778398,,Chronic total occlusion of coronary artery,I00-I99,5,0.8494749754667282,0.9087590992450714,0.8402766078710556,0.8982003316283226,94.0,14231,61.0,6171,0.8172036617994308,0.8809688001871109,94.0,11780,61.0,5026,0.7693205878138543,0.902364481985569,24.0,5243,19.0,2907,,,0.0,7677,0.0,4197,0.8041114330291748,0.9282428100705148,24.0,7694,19.0,4202,0.7436129674315453,0.9111632227897644,24.0,7694,19.0,4202,0.8019266366958618,0.8761942073702812,94.0,14231,61.0,6171,,,,14231,,6171,0.8348055193394177,0.7525988474488259,0.9118274241685868,4202,7694,19.0,24.0,IX
E1131,0.8313426755182161,0.8419069251581027,0.8259985697507009,0.847115253493653,0.7445602605863192,0.8682707494274658,0.8590134644239121,0.8206954803065667,,Type 2 diabetes mellitus with unspecified diabetic retinopathy,E00-E90,5,0.8095467790961266,0.8512633860111236,0.8214140757918358,0.8625824227929115,334.0,14231,90.0,6171,0.8027150571346283,0.8481579959392548,332.0,11780,90.0,5026,0.8112425535917283,0.8794948905706406,132.0,5243,52.0,2907,0.7307967483997345,0.7581413418054581,2.0,7677,2.0,4197,0.836075259745121,0.8990126624703407,134.0,7694,52.0,4202,0.8281771764159203,0.8884532615542412,134.0,7694,52.0,4202,0.798112390935421,0.8423573315143585,334.0,14231,90.0,6171,,,,14231,,6171,0.8346718787017294,0.8002775639295578,0.8687789097428322,4202,7694,52.0,134.0,IV
Z9861,0.824692466521963,0.8281434520086821,0.8039847256508079,0.8413315768563244,0.7912873353332464,0.8678134578567023,0.8642164712199518,0.8159213817967773,,Coronary angioplasty status,Z00-Z99,5,0.8104340866208076,0.8385841578245163,0.8145046517252922,0.8420736536383628,640.0,14231,282.0,6171,0.7888429701328278,0.8190883666276931,640.0,11780,282.0,5026,0.8160355284810066,0.8654742509126663,209.0,5243,123.0,2907,0.6510013088583946,0.902853475511074,10.0,7677,7.0,4197,0.8461466893553734,0.8908848866820336,209.0,7694,123.0,4202,0.8412983000278473,0.8856481239199638,209.0,7694,123.0,4202,0.8012607261538506,0.8294771745800972,640.0,14231,282.0,6171,,,,14231,,6171,0.8626528975015423,0.8401951223611832,0.8837184384465218,4202,7694,123.0,209.0,XXI
L8915,0.8175720634015351,0.8352466601526188,0.809559924522677,0.82925013031499,0.711400651465798,0.8674029708037061,0.8740960326438268,0.8333773660601334,,Pressure ulcer of sacral region,L00-L99,5,0.7941770121455193,0.8405495956540108,0.8139570444822312,0.8557343274354935,204.0,14231,124.0,6171,0.7824176847934723,0.83352360278368,204.0,11780,124.0,5026,0.7924519583582879,0.8664815187454223,78.0,5243,62.0,2907,0.4312141835689544,0.9842431098222733,2.0,7677,2.0,4197,0.8349615007638931,0.898761373758316,78.0,7694,62.0,4202,0.8421749264001847,0.9038018226623536,78.0,7694,62.0,4202,0.8108346581459045,0.8555745765566826,204.0,14231,124.0,6171,,,,14231,,6171,0.8613950387847448,0.8253295823931694,0.8908105477690696,4202,7694,62.0,78.0,XII
L891,0.817318001557221,0.8348667905174475,0.8091186802986571,0.8289845359545264,0.7117915309446254,0.8672380009696186,0.8747104611075199,0.8332386280241046,,Pressure ulcer of back,L00-L99,4,0.79347163438797,0.8401741966605186,0.8138863787055016,0.8554185837507248,204.0,14231,124.0,6171,0.7819688186049462,0.8330994099378586,204.0,11780,124.0,5026,0.7920387715101243,0.8658415287733078,78.0,5243,62.0,2907,0.4323033675551414,0.9843668341636658,2.0,7677,2.0,4197,0.8347680389881134,0.8984941318631172,78.0,7694,62.0,4202,0.8431289747357369,0.903807221353054,78.0,7694,62.0,4202,0.8104239791631699,0.8558150798082351,204.0,14231,124.0,6171,,,,14231,,6171,0.861965699741435,0.8260415077209473,0.8912686794996262,4202,7694,62.0,78.0,XII
R652,0.8439104482488723,0.8544659287192061,0.8330576092261528,0.8322341286129298,0.9024939136630841,0.8670530772608875,0.8734130961679646,0.8483929369724748,,Severe sepsis,R00-R99,4,0.8288761898875237,0.8605236947536469,0.8386268019676208,0.868393124639988,490.0,14231,314.0,6171,0.8151978626847267,0.8505119144916534,490.0,11780,314.0,5026,0.8038674339652061,0.8604735344648361,199.0,5243,180.0,2907,0.8540655374526978,0.9446163147687912,22.0,7677,20.0,4197,0.8431735515594483,0.8895060017704963,199.0,7694,180.0,4202,0.8511737197637558,0.89538584202528,199.0,7694,180.0,4202,0.8333911076188087,0.8629161939024925,490.0,14231,314.0,6171,,,,14231,,6171,0.8751040056855325,0.8521049857139588,0.8940962448716163,4202,7694,180.0,199.0,XVIII
Z986,0.823916700996706,0.8273272385191524,0.8031041048885994,0.8395901336890806,0.791313421155602,0.8663434374284187,0.8626116667939223,0.8151170923706159,,Angioplasty status,Z00-Z99,4,0.8096165999770164,0.8374981105327606,0.8132259473204613,0.8410279884934425,642.0,14231,282.0,6171,0.7880103468894959,0.8182638049125671,642.0,11780,282.0,5026,0.8128353923559188,0.8642285674810409,210.0,5243,123.0,2907,0.6514882445335388,0.9026896432042122,10.0,7677,7.0,4197,0.8444579035043717,0.8894258171319962,210.0,7694,123.0,4202,0.8395458325743675,0.8839186996221542,210.0,7694,123.0,4202,0.8007173463702202,0.8287875771522522,642.0,14231,282.0,6171,,,,14231,,6171,0.8607053778218929,0.8368800073862076,0.8834665894508362,4202,7694,123.0,210.0,XXI
I214,0.847405776113112,0.8533688312912422,0.8349247683073407,0.8373483136071944,0.8076216712580349,0.8661336900724548,0.8468727715145807,0.8319250772623759,,Non-ST elevation (NSTEMI) myocardial infarction,I00-I99,4,0.8313205391168594,0.8622099682688713,0.8367190331220626,0.8683348223567009,549.0,14231,319.0,6171,0.8178293943405152,0.851803520321846,549.0,11780,319.0,5026,0.8084365546703338,0.8653668388724327,196.0,5243,154.0,2907,0.7512388572096824,0.8590664148330689,54.0,7677,47.0,4197,0.8393585875630378,0.8882332637906074,196.0,7694,154.0,4202,0.8177564650774002,0.8735302060842514,196.0,7694,154.0,4202,0.8157166138291359,0.848803062736988,549.0,14231,319.0,6171,,,,14231,,6171,0.8425757072634334,0.8153101831674576,0.8692852422595024,4202,7694,154.0,196.0,IX
I27,0.8436591891145513,0.8492646326602475,0.8297229749550357,0.8369786525606522,0.8139019300991133,0.8659446827066778,0.8647531363353904,0.8423410100495754,,Other pulmonary heart diseases,I00-I99,3,0.830051589012146,0.8582590445876122,0.8361576229333878,0.861769723892212,721.0,14231,330.0,6171,0.8145455300807953,0.8444404944777488,721.0,11780,330.0,5026,0.812953631579876,0.8608470976352691,287.0,5243,174.0,2907,0.6159148007631302,0.9802572444081306,9.0,7677,7.0,4197,0.8448860451579094,0.886979466676712,287.0,7694,174.0,4202,0.842155733704567,0.8868335574865341,287.0,7694,174.0,4202,0.8276661023497581,0.8561158552765846,721.0,14231,330.0,6171,,,,14231,,6171,0.8466268606445828,0.8251485899090767,0.8693030476570129,4202,7694,174.0,287.0,IX
E113,0.8253294522729006,0.8383557740188979,0.8218405387150023,0.8433417633653437,0.7490226739640344,0.865933118354185,0.8520555680279746,0.8176008321864395,,Type 2 diabetes mellitus with ophthalmic complications,E00-E90,4,0.8042882218956947,0.8441239550709725,0.8192463099956513,0.858519832789898,373.0,14231,105.0,6171,0.8000655010342598,0.8431273311376571,371.0,11780,105.0,5026,0.8122415617108345,0.8743406653404235,154.0,5243,67.0,2907,0.712304612994194,0.7769671678543091,3.0,7677,3.0,4197,0.8374620392918587,0.8936473995447158,156.0,7694,67.0,4202,0.8242709979414939,0.8792343407869339,156.0,7694,67.0,4202,0.7958132550120354,0.8375229716300965,373.0,14231,105.0,6171,,,,14231,,6171,0.8284325230796442,0.796645812690258,0.859507954120636,4202,7694,67.0,156.0,IV
E13,0.8092327378007669,0.8130438957390095,0.7873779332458827,0.839023372429905,0.943843648208469,0.8657489700504559,0.853786511132713,0.793640138018273,,Other specified diabetes mellitus,E00-E90,3,0.7889292031526566,0.8295294046401978,0.7919175148010253,0.8328486829996109,345.0,14231,143.0,6171,0.766567924618721,0.8100928530097008,345.0,11780,143.0,5026,0.8004021137952805,0.8737292617559433,114.0,5243,66.0,2907,0.9261189699172974,0.9603934586048126,2.0,7677,2.0,4197,0.8332287788391113,0.8936189740896225,114.0,7694,66.0,4202,0.8182620272040367,0.8847888812422752,114.0,7694,66.0,4202,0.7725611925125122,0.8136291831731797,345.0,14231,143.0,6171,,,,14231,,6171,0.8708952460306437,0.8364765033125877,0.8989560559391975,4202,7694,66.0,114.0,IV
K318,0.829478602665556,0.8216563411078716,0.8082006321393038,0.8488234108198737,0.9593835705890035,0.8656919502458185,0.8657527095661698,0.8115124032661122,,Other specified diseases of stomach and duodenum,K00-K93,4,0.8074409872293472,0.8509359255433082,0.7965702816843987,0.8461155295372009,343.0,14231,122.0,6171,0.783599978685379,0.8321814820170402,342.0,11780,122.0,5026,0.8138805016875267,0.8806921228766441,154.0,5243,77.0,2907,0.8993087872862816,0.9900075271725656,20.0,7677,1.0,4197,0.8301052510738373,0.8963789656758309,155.0,7694,77.0,4202,0.8324351206421852,0.8963047116994858,155.0,7694,77.0,4202,0.7859318226575851,0.8372792050242424,343.0,14231,122.0,6171,,,,14231,,6171,0.8625863787872952,0.8286085799336433,0.8940289720892907,4202,7694,77.0,155.0,XI
R65,0.8407191054072753,0.8498365656634997,0.8280380829754621,0.8304331219922083,0.9013246838822554,0.8654334244435767,0.8699142245011199,0.8438425549936757,,Symptoms and signs specifically associated with systemic inflammation and infection,R00-R99,3,0.8252187058329582,0.8569411292672158,0.8351628020405769,0.8638880908489227,514.0,14231,330.0,6171,0.8114146247506142,0.8451734200119972,514.0,11780,330.0,5026,0.8033522099256516,0.857550571858883,208.0,5243,189.0,2907,0.8544016852974892,0.9414609357714652,23.0,7677,21.0,4197,0.8426363810896873,0.8881222397089005,208.0,7694,189.0,4202,0.8480210959911346,0.8924470484256745,208.0,7694,189.0,4202,0.8274340257048607,0.8582956656813622,514.0,14231,330.0,6171,,,,14231,,6171,0.8713740006987403,0.8489401161670684,0.8901710629463195,4202,7694,189.0,208.0,XVIII
R578,0.8446076354563856,0.8477595688810021,0.8258468750425402,0.8304254503641242,0.9659979155810318,0.8651610379449732,0.8815177989307601,0.861655706534531,,Other shock,R00-R99,4,0.7995505273342133,0.8896294355392456,0.803568996489048,0.8881387367844582,69.0,14231,48.0,6171,0.7775369107723236,0.869398120045662,69.0,11780,48.0,5026,0.7476170092821122,0.8974431261420249,25.0,5243,22.0,2907,0.9619544148445128,0.9695113897323608,1.0,7677,1.0,4197,0.7959554702043534,0.92453902810812,25.0,7694,22.0,4202,0.8260454133152961,0.9307257503271102,25.0,7694,22.0,4202,0.8242515474557877,0.8969177365303039,69.0,14231,48.0,6171,,,,14231,,6171,0.8889659668796452,0.8205712556838989,0.9442257702350616,4202,7694,22.0,25.0,XVIII
I2720,0.8069894807146435,0.8354236099515778,0.8206601672479724,0.8408420947445807,0.6386319218241043,0.8640997673065736,0.88963544696529,0.828186341626315,,"Pulmonary hypertension, unspecified",I00-I99,5,0.7649076446890831,0.8470823720097542,0.7976767763495446,0.8721886575222015,106.0,14231,54.0,6171,0.7787332385778427,0.86056317538023,106.0,11780,54.0,5026,0.777297131717205,0.8972336456179619,54.0,5243,37.0,2907,0.2765763401985168,0.9961014956235884,2.0,7677,2.0,4197,0.8064674183726311,0.9158880546689032,54.0,7694,37.0,4202,0.8404000073671342,0.9308766379952432,54.0,7694,37.0,4202,0.7901009902358055,0.8650499194860458,106.0,14231,54.0,6171,,,,14231,,6171,0.8701304052743843,0.8215434968471527,0.9118312045931816,4202,7694,37.0,54.0,IX
J91,0.8355120478451654,0.8439954299593331,0.82009406963306,0.828176527643065,0.9006509363652222,0.8640227324957037,0.8672184056900617,0.8327265689984703,,Pleural effusion in conditions classified elsewhere,J00-J99,3,0.8138210073113441,0.8541476666927338,0.8228821396827698,0.8634951949119568,324.0,14231,225.0,6171,0.7953630864620209,0.8415911599993706,321.0,11780,224.0,5026,0.7831731110811233,0.8685061067342759,88.0,5243,77.0,2907,0.8561365187168122,0.9410171613097192,33.0,7677,26.0,4197,0.8265693470835686,0.8982245266437531,91.0,7694,78.0,4202,0.8313039094209671,0.9007814586162568,91.0,7694,78.0,4202,0.8126753136515618,0.853231081366539,324.0,14231,225.0,6171,,,,14231,,6171,0.8348237321011226,0.791539004445076,0.8711289629340172,4202,7694,78.0,91.0,X
E112,0.819689914519132,0.8323842722319399,0.8157879638821228,0.8373363554356148,0.8547504235631435,0.8639920894195987,0.8688022730401912,0.8228139381985535,,Type 2 diabetes mellitus with kidney complications,E00-E90,4,0.8039318352937699,0.8356680348515511,0.8175291806459427,0.8473313108086586,542.0,14231,223.0,6171,0.798888249695301,0.8327058151364326,538.0,11780,222.0,5026,0.8141306385397911,0.8576840609312057,265.0,5243,151.0,2907,0.7024699360132217,0.9948472827672958,4.0,7677,4.0,4197,0.8445383563637734,0.8825094670057296,269.0,7694,152.0,4202,0.849638395011425,0.8873380944132805,269.0,7694,152.0,4202,0.8073361307382584,0.8387064129114151,542.0,14231,223.0,6171,,,,14231,,6171,0.8641362822775462,0.8462141826748848,0.8815975770354271,4202,7694,152.0,269.0,IV
R6520,0.8486342369159471,0.8543530823549441,0.8320251177394034,0.8259787601810564,0.9264481873177526,0.8621542850902341,0.8700799046240933,0.8492596462466973,,Severe sepsis without septic shock,R00-R99,5,0.8289353206753731,0.8676237106323242,0.8355884909629822,0.8724904283881187,314.0,14231,216.0,6171,0.8085942670702935,0.8541837573051453,314.0,11780,216.0,5026,0.7863935366272926,0.86304469704628,116.0,5243,109.0,2907,0.8852035641670227,0.95894266217947,18.0,7677,16.0,4197,0.8312855288386345,0.8890956327319145,116.0,7694,109.0,4202,0.8411339163780213,0.8981072083115578,116.0,7694,109.0,4202,0.8286808148026467,0.8673857897520065,314.0,14231,216.0,6171,,,,14231,,6171,0.873636024426425,0.8458555474877357,0.897032244503498,4202,7694,109.0,116.0,XVIII
Z8942,0.7949010043962391,0.8002770379402925,0.7752896042549449,0.8285191926933639,,0.8620599739243808,0.8391134289439375,0.7669415653178449,,Acquired absence of other toe(s),Z00-Z99,5,0.7480289593338967,0.8375103786587715,0.7568599104881287,0.8425465628504754,66.0,14231,27.0,6171,0.7246958553791046,0.8237916573882103,66.0,11780,27.0,5026,0.767794169485569,0.8819458678364753,24.0,5243,16.0,2907,,,0.0,7677,0.0,4197,0.814822481572628,0.9069863021373747,24.0,7694,16.0,4202,0.7624126419425011,0.9053466990590096,24.0,7694,16.0,4202,0.7057797715067864,0.8213447198271752,66.0,14231,27.0,6171,,,,14231,,6171,0.8305465015210778,0.7586382016539575,0.9041494488716124,4202,7694,16.0,24.0,XXI
I200,0.8692346470535011,0.8650711580471285,0.8546873950144459,0.8592400690846287,0.7484676947101307,0.8615814851293249,0.8908719092768171,0.853225271339874,,Unstable angina,I00-I99,4,0.8454380944371224,0.8905554309487342,0.8412425622344017,0.8878261312842369,165.0,14231,111.0,6171,0.8284090757369995,0.879210689663887,164.0,11780,110.0,5026,0.8070949539542198,0.9039317041635512,32.0,5243,25.0,2907,0.6824317753314972,0.8085725620388985,47.0,7677,38.0,4197,0.8068218871951104,0.9109706148505212,33.0,7694,26.0,4202,0.8378431215882302,0.933094847202301,33.0,7694,26.0,4202,0.8252693027257919,0.8787102729082108,165.0,14231,111.0,6171,,,,14231,,6171,0.8774074118023993,0.8151700705289842,0.9292485505342484,4202,7694,26.0,33.0,IX
J9690,0.828563662448942,0.8299149242234339,0.8034448611540349,0.8270548751370365,0.8990070551345701,0.8610877046933533,0.8646432241522647,0.8219564990472215,,"Respiratory failure, unspecified, unspecified whether with hypoxia or hypercapnia",J00-J99,5,0.8105041891336441,0.8470481514930726,0.8113346248865128,0.8493447244167328,379.0,14231,275.0,6171,0.7829105034470558,0.8254193514585495,378.0,11780,274.0,5026,0.7880875080823898,0.8626490369439125,116.0,5243,107.0,2907,0.8318395346403122,0.9555936083197594,23.0,7677,20.0,4197,0.8288292050361633,0.8914086759090424,117.0,7694,108.0,4202,0.8334580421447754,0.8978152498602867,117.0,7694,108.0,4202,0.8028776183724403,0.8413157686591148,379.0,14231,275.0,6171,,,,14231,,6171,0.8593257372457583,0.8280468180775642,0.8881079018115997,4202,7694,108.0,117.0,X
I6935,0.8050738764621382,0.8162271701210753,0.803516960651289,0.8330094323273834,,0.8608899908651964,0.8731988229994991,0.8106312846295916,,Hemiplegia and hemiparesis following cerebral infarction,I00-I99,5,0.7464873254299164,0.859331700205803,0.7716537982225418,0.8578546687960624,55.0,14231,28.0,6171,0.7550995528697968,0.8501566156744957,55.0,11780,28.0,5026,0.7810548841953278,0.8818801894783973,31.0,5243,22.0,2907,,,0.0,7677,0.0,4197,0.8154131889343262,0.8996314123272896,31.0,7694,22.0,4202,0.828877580165863,0.9073568254709244,31.0,7694,22.0,4202,0.7575906679034233,0.8584495991468429,55.0,14231,28.0,6171,,,,14231,,6171,0.8715907607986428,0.8090132668614387,0.9191179528832436,4202,7694,22.0,31.0,IX
Z99,0.8345833860855454,0.828233836372839,0.8086117836384219,0.8275759862886614,0.870638965111721,0.860118452586509,0.8693035912269268,0.8237015479665035,,"Dependence on enabling machines and devices, not elsewhere classified",Z00-Z99,3,0.8189990103244782,0.848861674964428,0.8123621612787246,0.8453149825334549,522.0,14231,183.0,6171,0.7899459481239319,0.8267100214958191,518.0,11780,182.0,5026,0.8037626773118973,0.8490225896239281,255.0,5243,122.0,2907,0.8266863033175469,0.9093744635581972,24.0,7677,10.0,4197,0.8408697977662086,0.879229074716568,259.0,7694,123.0,4202,0.8510551109910012,0.8867904528975487,259.0,7694,123.0,4202,0.807012851536274,0.8399527370929718,522.0,14231,183.0,6171,,,,14231,,6171,0.8536791186421314,0.8354839280247688,0.8736709490418434,4202,7694,123.0,259.0,XXI
J80,0.7653705888922882,0.8026212918044568,0.7748100675217663,0.8228746043872095,0.8951573849878934,0.8599862476537382,0.9049787210317977,0.8003073874976327,,Acute respiratory distress syndrome,J00-J99,3,0.692297239601612,0.8348029837012291,0.7259985536336899,0.874092735350132,29.0,14231,24.0,6171,0.6886837929487228,0.8524411961436271,29.0,11780,24.0,5026,0.6891765162348747,0.9505947425961494,7.0,5243,7.0,2907,0.8436095893383027,0.947856405377388,7.0,7677,7.0,4197,0.746503210067749,0.9634078621864318,7.0,7694,7.0,4202,0.8370667263865471,0.970183901488781,7.0,7694,7.0,4202,0.7098543301224709,0.8744554206728935,29.0,14231,24.0,6171,,,,14231,,6171,0.8510658068352878,0.688776807487011,0.9610858216881752,4202,7694,7.0,7.0,X
A415,0.8291348927109917,0.8249434989857501,0.8014805931878576,0.8225233413203337,,0.859766019526428,0.8525511540044141,0.8212317976131154,,Sepsis due to other Gram-negative organisms,A00-B99,4,0.7984433427453042,0.8579998567700386,0.7910614684224129,0.8558242425322533,141.0,14231,101.0,6171,0.7646547749638558,0.8358143046498299,141.0,11780,101.0,5026,0.7764416113495827,0.8678468927741051,56.0,5243,50.0,2907,,,0.0,7677,0.0,4197,0.8196003854274749,0.898968018591404,56.0,7694,50.0,4202,0.8066360771656036,0.9002549290657044,56.0,7694,50.0,4202,0.7898683920502663,0.8518890246748925,141.0,14231,101.0,6171,,,,14231,,6171,0.858482493547301,0.8124979272484779,0.899628895521164,4202,7694,50.0,56.0,I
K720,0.8659379183989852,0.8730357268691424,0.8569399488926746,0.8317903596021423,0.7809201094747816,0.8592438251508443,0.9117767070365065,0.8212476217320837,,Acute and subacute hepatic failure,K00-K93,4,0.8054019659757614,0.9152530640363692,0.8168877601623535,0.9230414032936096,40.0,14231,29.0,6171,0.7961128070950508,0.9073411375284196,40.0,11780,29.0,5026,0.6904327511787415,0.949503755569458,15.0,5243,15.0,2907,0.2482036899775266,0.9726542621850968,4.0,7677,4.0,4197,0.7275139525532722,0.9476650103926658,15.0,7694,15.0,4202,0.8415622487664223,0.9642627984285356,15.0,7694,15.0,4202,0.7637035742402076,0.870871850848198,40.0,14231,29.0,6171,,,,14231,,6171,0.8909753874202371,0.8122486069798469,0.958779428899288,4202,7694,15.0,15.0,XI
Z6841,0.830391142384106,0.8394270206201083,0.8288367913283702,0.843295090220185,,0.8591401193170277,0.8293378246481874,0.8123372591812161,,"Body mass index (BMI) 40.0-44.9, adult",Z00-Z99,5,0.8014257937669754,0.8570198073983193,0.8129206374287605,0.866368542611599,151.0,14231,90.0,6171,0.7989076390862465,0.8553215906023979,151.0,11780,90.0,5026,0.809521758556366,0.8764341622591019,73.0,5243,53.0,2907,,,0.0,7677,0.0,4197,0.8267183899879456,0.8918268531560898,73.0,7694,53.0,4202,0.7854192018508911,0.8683713898062706,73.0,7694,53.0,4202,0.7812600359320641,0.8430625692009925,151.0,14231,90.0,6171,,,,14231,,6171,0.8232137946158146,0.7776118159294129,0.8656347036361695,4202,7694,53.0,73.0,XXI
K830,0.8120963051719184,0.8209175057633152,0.8003550419259754,0.8322652700972969,0.8632481418698656,0.8586558577405858,0.8482524558850282,0.7837421958756384,,Cholangitis,K00-K93,4,0.7735740602016449,0.8486297890543938,0.7798289969563484,0.8552486047148704,101.0,14231,60.0,6171,0.759050564467907,0.8377793669700623,101.0,11780,60.0,5026,0.7763255223631859,0.8820507273077964,46.0,5243,30.0,2907,0.7514222428202629,0.9502539426088332,8.0,7677,7.0,4197,0.8000257089734077,0.9058114349842072,46.0,7694,30.0,4202,0.8022449687123299,0.8911407142877579,46.0,7694,30.0,4202,0.7444403544068336,0.8220394670963287,101.0,14231,60.0,6171,,,,14231,,6171,0.8382754229579771,0.7856896802783013,0.8880042597651482,4202,7694,30.0,46.0,XI
Z955,0.822904323067226,0.8211468408354887,0.810667708239601,0.8392253918141841,0.8055555555555556,0.858421100496126,0.8722270950440771,0.7952871177378339,,Presence of coronary angioplasty implant and graft,Z00-Z99,4,0.8041940227150917,0.8409743845462799,0.8018513783812523,0.8408514261245728,331.0,14231,151.0,6171,0.7882239669561386,0.8322265535593033,329.0,11780,150.0,5026,0.8113938465714454,0.8666385591030121,175.0,5243,106.0,2907,0.6769777342677117,0.9089239791035651,9.0,7677,7.0,4197,0.8340001538395881,0.8806523755192757,177.0,7694,107.0,4202,0.8553394764661789,0.8889306142926217,177.0,7694,107.0,4202,0.7712452873587609,0.8165720283985138,331.0,14231,151.0,6171,,,,14231,,6171,0.8640896078117473,0.8451604321599007,0.8824991285800934,4202,7694,107.0,177.0,XXI
